Distance,Linear,Raw
0,21.32,374
0,21.39,373
0,21.32,374
0,21.32,374
0,21.24,375
0,21.32,374
0,21.55,371
0,21.55,371
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,19.9,395
0,21.55,371
0,21.55,371
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,22.05,365
0,21.79,368
0,21.79,368
0,22.32,362
0,21.32,374
0,21.32,374
0,21.39,373
0,21.39,373
0,21.39,373
0,21.32,374
0,21.32,374
0,21.24,375
0,21.32,374
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,21.87,367
0,21.79,368
0,20.02,393
0,21.87,367
0,21.79,368
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,20.53,385
0,21.55,371
0,21.55,371
0,22.05,365
0,21.87,367
0,21.87,367
0,21.79,368
0,21.79,368
0,21.87,367
0,21.87,367
0,21.79,368
0,21.71,369
0,21.79,368
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,19.66,399
0,21.09,377
0,21.09,377
0,21.32,374
0,21.32,374
0,21.32,374
0,21.32,374
0,21.39,373
0,21.32,374
0,21.79,368
0,21.32,374
0,21.24,375
0,21.47,372
0,21.32,374
0,21.32,374
0,21.32,374
0,21.39,373
0,21.39,373
0,21.32,374
0,21.32,374
0,21.24,375
0,21.32,374
0,21.32,374
0,21.32,374
0,21.32,374
0,21.32,374
0,21.39,373
0,21.39,373
0,21.32,374
0,19.66,399
0,21.32,374
0,21.32,374
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.17,376
0,21.09,377
0,21.02,378
0,21.09,377
0,21.87,367
0,21.79,368
0,21.87,367
0,21.79,368
0,21.87,367
0,21.79,368
0,21.79,368
0,20.88,380
0,21.79,368
0,21.32,374
0,21.32,374
0,21.39,373
0,21.32,374
0,21.32,374
0,21.32,374
0,21.32,374
0,20.02,393
0,21.32,374
0,21.32,374
0,22.13,364
0,22.13,364
0,22.13,364
0,22.13,364
0,22.13,364
0,22.05,365
0,22.13,364
0,22.05,365
0,22.05,365
0,22.13,364
0,21.32,374
0,21.39,373
0,21.39,373
0,21.39,373
0,21.32,374
0,21.32,374
0,21.32,374
0,20.15,391
0,21.32,374
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,20.34,388
0,21.55,371
0,21.55,371
0,21.55,371
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,22.05,365
0,21.55,371
0,21.55,371
0,21.63,370
0,21.32,374
0,21.32,374
0,21.32,374
0,21.32,374
0,21.39,373
0,21.32,374
0,21.32,374
0,21.17,376
0,21.32,374
0,21.55,371
0,21.55,371
0,21.55,371
0,21.55,371
0,21.63,370
0,21.63,370
0,21.55,371
0,19.9,395
0,21.55,371
0,21.55,371
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.09,377
0,21.02,378
0,21.47,372
0,21.09,377
0,21.02,378
0,21.09,377
0,21.55,371
0,21.63,370
0,21.63,370
0,21.55,371
0,21.63,370
0,21.63,370
0,21.55,371
0,21.32,374
0,21.55,371
0,21.79,368
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,20.15,391
0,21.79,368
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,22.32,362
0,21.79,368
0,21.79,368
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,21.71,369
0,21.79,368
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,19.84,396
0,21.55,371
0,21.55,371
0,21.55,371
0,21.63,370
0,21.63,370
0,21.63,370
0,21.63,370
0,21.55,371
0,22.05,365
0,21.55,371
0,21.55,371
0,22.05,365
0,21.32,374
0,21.39,373
0,21.39,373
0,21.39,373
0,21.39,373
0,21.32,374
0,21.32,374
0,21.24,375
0,21.32,374
0,21.79,368
0,21.87,367
0,21.87,367
0,21.87,367
0,21.87,367
0,21.79,368
0,21.79,368
0,20.02,393
0,21.79,368
0,21.79,368
0,21.55,371
0,21.63,370
0,21.55,371
0,21.63,370
0,21.63,370
0,21.55,371
0,20.47,386
0,21.55,371
0,21.55,371
0,21.55,371
0,21.32,374
0,21.39,373
0,21.32,374
0,21.39,373
0,21.39,373
0,21.47,372
0,21.32,374
0,21.32,374
