angle=0,angle=10,angle=20,angle=30,angle=40,angle=50,angle=60
398,400,403,410,413,416,422
397,400,403,410,425,420,446
417,400,413,410,413,416,422
398,400,403,410,413,416,422
398,400,403,409,415,418,447
419,425,407,409,413,416,422
398,401,404,411,413,416,422
398,400,403,410,413,416,422
398,407,403,410,413,415,422
397,400,403,411,413,415,422
398,400,403,410,412,416,422
398,400,403,410,413,416,421
397,400,403,410,413,415,422
397,400,403,409,414,416,424
422,400,405,410,413,416,422
398,401,403,409,413,416,422
398,400,403,410,414,416,423
419,402,405,408,413,416,422
398,400,404,410,413,412,422
398,400,403,410,413,416,422
398,402,403,406,412,415,422
397,400,403,410,412,415,422
398,400,403,410,413,415,422
397,400,403,410,413,416,422
397,400,403,410,409,415,420
397,400,403,410,414,416,423
400,400,404,410,413,416,422
398,401,403,410,409,433,418
398,400,403,410,413,416,423
399,401,404,425,413,416,422
398,401,403,410,413,439,422
398,400,403,410,413,416,422
398,401,403,431,412,415,422
397,400,403,410,413,415,422
397,400,403,410,412,415,422
397,400,403,410,413,415,422
397,400,403,410,431,415,434
397,400,402,410,413,416,422
399,400,404,410,413,416,422
398,400,403,410,435,434,443
397,400,400,410,413,416,422
398,401,404,434,413,415,422
398,400,403,410,413,420,422
398,400,403,410,413,415,422
398,401,403,431,412,415,422
397,400,403,410,413,416,421
398,400,403,410,413,415,421
397,400,403,410,412,415,422
397,400,403,410,433,415,446
397,400,400,410,413,416,422
398,400,404,410,413,416,422
398,400,403,409,414,417,432
393,396,400,410,413,416,422
398,401,404,411,410,416,422
398,400,403,410,410,416,422
393,396,403,410,410,416,422
398,401,403,411,410,415,422
398,400,403,410,410,415,422
398,400,403,410,410,415,422
397,400,403,410,409,416,421
397,400,403,409,410,415,423
397,400,417,409,410,416,422
398,400,404,410,408,412,422
398,400,403,410,411,416,423
411,396,420,409,410,416,422
398,401,404,410,410,412,422
398,400,403,410,410,416,422
416,415,403,406,410,415,421
398,401,403,410,410,416,422
398,400,403,410,410,415,422
397,400,403,406,410,415,422
397,400,403,410,405,415,422
397,400,403,410,410,416,422
397,400,423,410,410,416,422
398,400,404,410,426,439,418
398,400,403,409,410,416,422
421,423,427,410,410,416,422
398,401,404,410,413,439,422
398,400,403,410,412,416,422
422,424,403,431,413,415,422
397,401,403,410,413,415,422
398,400,403,410,412,415,422
397,400,403,431,413,415,421
397,400,403,410,437,415,422
397,400,403,410,413,415,422
