Angle,Distance
0,19.54
0,19.54
0,19.54
0,19.54
0,19.62
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,18.02
0,19.54
0,19.62
0,19.47
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.7
0,19.86
0,19.86
0,19.86
0,19.7
0,19.78
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.62
0,17.82
0,19.09
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,18.16
0,17.75
0,19.86
0,19.86
0,19.78
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.86
0,18.02
0,19.54
0,19.54
0,19.47
0,19.47
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,18.37
0,19.54
0,19.54
0,19.47
0,19.47
0,19.86
0,19.86
0,19.86
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,19.54
0,19.54
0,18.58
0,19.47
0,19.54
0,19.54
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,17.75
0,19.39
0,19.86
0,19.86
0,19.78
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,18.09
0,18.72
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,18.44
0,18.02
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.78
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.7
0,19.94
0,19.54
0,19.54
0,19.39
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.18
0,19.86
0,19.86
0,19.47
0,19.7
0,19.54
0,19.54
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.18
0,19.86
0,19.86
0,18.02
0,19.7
0,19.54
0,19.54
0,19.54
0,19.47
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,17.82
0,19.16
0,19.54
0,19.54
0,19.47
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.16
0,18.02
0,19.54
0,19.54
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,20.18
0,18.65
0,19.54
0,19.54
0,19.47
0,19.47
0,19.86
0,19.86
0,19.86
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.18
0,19.54
0,19.54
0,19.24
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.78
0,19.86
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.31
0,19.78
0,19.54
0,19.54
0,19.54
0,19.78
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,18.09
0,17.82
0,19.54
0,19.54
0,19.47
0,19.47
0,19.78
0,19.86
0,19.78
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.94
0,18.02
0,19.54
0,19.54
0,19.47
0,19.54
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,18.3
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.02
0,20.18
0,19.54
0,19.54
0,19.39
0,19.47
0,19.54
0,19.54
0,19.54
0,19.78
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,17.82
0,19.24
0,19.86
0,19.86
0,19.78
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,18.3
0,18.02
0,19.54
0,19.54
0,19.47
0,19.54
0,19.86
0,19.86
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.54
0,19.54
0,18.23
0,17.82
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,18.16
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.02
0,19.86
0,19.86
0,18.02
0,19.7
0,19.54
0,19.54
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,17.82
0,19.16
0,19.86
0,19.86
0,19.78
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,18.3
0,18.02
0,19.54
0,19.54
0,19.47
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,18.72
0,18.02
0,19.54
0,19.54
0,19.47
0,19.54
0,19.86
0,19.86
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.18
0,19.86
0,19.86
0,19.7
0,19.78
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,19.86
0,19.86
0,19.47
0,19.78
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,20.02
0,19.86
0,19.86
0,18.02
0,19.62
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,18.02
0,18.58
0,19.86
0,19.86
0,19.78
0,19.54
0,19.54
0,19.62
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,18.58
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.02
0,20.18
0,19.54
0,19.54
0,19.39
0,19.47
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,19.54
0,19.54
0,18.51
0,19.39
0,19.54
0,19.54
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,18.02
0,19.39
0,19.54
0,19.54
0,19.54
0,19.54
0,19.62
0,19.54
0,19.54
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.18
0,18.3
0,19.54
0,19.54
0,19.47
0,19.47
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,20.02
0,19.47
0,19.86
0,19.86
0,19.7
0,19.78
0,19.86
0,19.86
0,19.78
0,19.78
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
0,19.86
