Distance,Measurement
6,5.48
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6
6,5.78
6,6.02
6,5.98
6,6.02
6,6.02
6,6.04
6,6.04
6,6.04
6,6.02
6,6.02
6,5.4
6,6.02
6,6
6,6.04
6,6.02
6,6.02
6,6.02
6,6.02
6,5.78
6,6.02
6,5.96
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,5.28
6,6.02
6,6
6,6.02
6,6.02
6,5.98
6,6
6,5.98
6,6
6,5.98
6,5.9
6,5.98
6,5.98
6,5.7
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6
6,6.02
6,6.02
6,5.52
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6
6,5.9
6,6.02
6,5.98
6,6.02
6,6.04
6,6.02
6,6.04
6,6.02
6,6.02
6,6.02
6,5.3
6,6.02
6,6
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.04
6,6
6,5.5
6,6.02
6,6
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,5.76
6,6.02
6,5.98
6,6.02
6,6.02
6,6.02
6,6.04
6,6.02
6,6.02
6,6.04
6,5.28
6,6.02
6,6
6,6.02
6,6
6,6.02
6,6.02
6,6.02
6,6.02
6,6.04
6,5.88
6,6.02
6,6
6,5.76
6,6.02
6,6.02
6,6.02
6,6.04
6,6.02
6,6.02
6,6
6,6.02
6,6.02
6,5.4
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,6.04
6,6.02
6,5.78
6,6.02
6,5.98
6,6.02
6,6.02
6,6.02
6,6.02
6,6.04
6,6.02
6,6.02
6,5.32
6,6.02
6,6
6,6.02
6,6.04
6,6.02
6,6.02
6,6.02
6,6.02
6,6.02
6,5.96
6,6.02
6,6.02
6,5.42
6,6.02
6,6.04
6,6.02
6,6.02
6,6.02
6,6.02
6,6
6,6.02
6,6.02
6,5.52
6,6.04
6,6.04
