d10,d40,d70,d100,d130,d160,d190,d220,d250,d280,d310
473,855,831,680,539,484,389,331,282,234,194
473,854,826,680,539,459,384,331,282,234,197
498,850,826,680,539,458,392,331,282,234,197
474,850,837,680,539,458,391,324,282,233,197
473,850,825,705,565,459,391,332,296,233,197
499,850,825,681,540,458,391,331,283,234,197
474,850,825,681,540,458,391,343,282,234,197
473,850,825,711,565,459,391,331,303,234,196
473,863,825,681,540,459,392,331,282,224,215
473,852,825,680,539,463,391,331,282,234,197
473,851,826,680,555,459,407,331,282,234,197
473,863,825,680,555,459,392,331,282,224,221
473,852,858,680,555,461,392,331,282,233,197
473,851,826,681,555,459,411,331,282,233,193
480,851,825,680,555,458,392,331,282,234,193
473,851,862,681,555,459,391,355,282,234,193
473,850,825,692,561,458,392,331,295,233,193
478,851,825,681,555,458,391,331,282,233,193
473,850,825,681,555,458,391,355,282,234,193
473,850,825,685,558,459,391,331,284,234,193
473,887,825,681,556,459,392,331,282,247,197
473,852,825,681,556,460,391,324,282,234,194
473,851,826,681,539,459,415,324,282,234,193
473,888,825,680,539,459,392,324,282,255,195
473,851,852,680,539,460,391,324,282,234,193
473,851,826,680,539,458,415,324,282,234,193
475,850,825,680,539,459,392,324,282,234,193
474,851,851,681,539,458,391,326,282,234,193
473,850,825,682,541,458,391,324,282,233,193
474,850,825,681,540,458,392,324,282,234,193
474,851,825,681,539,458,391,325,274,234,193
473,850,825,682,541,459,392,324,283,234,193
473,877,825,679,539,456,392,324,282,235,194
473,851,825,678,539,459,392,324,273,234,193
473,851,826,678,540,459,407,324,282,234,192
473,866,825,678,539,468,392,324,282,235,194
473,851,827,678,539,459,392,324,282,234,193
473,851,826,678,539,459,395,324,282,233,193
474,850,825,678,539,459,391,324,282,233,193
473,850,827,685,539,458,391,325,282,233,193
472,850,825,679,540,458,391,324,282,233,193
474,851,825,679,540,458,391,320,282,234,193
473,850,825,685,540,459,391,324,299,233,193
473,850,825,679,541,459,391,324,282,232,200
473,852,825,679,539,483,392,317,282,234,194
473,851,825,678,541,459,392,324,306,234,193
473,851,826,678,539,459,393,324,282,224,207
473,852,827,678,539,483,392,324,282,234,194
473,851,827,678,539,456,392,324,282,234,193
471,850,825,678,539,456,393,324,282,234,193
474,850,831,678,539,456,392,324,282,233,193
473,850,826,710,539,456,392,324,282,233,193
471,850,825,679,540,456,392,324,282,234,193
474,851,825,678,540,456,391,339,282,234,193
473,850,825,704,562,456,391,324,287,234,193
473,855,825,679,540,456,392,324,282,247,217
473,852,825,681,539,459,392,343,282,234,193
473,851,825,680,565,456,391,324,284,234,193
473,863,826,681,555,456,392,324,282,255,207
473,852,855,680,555,457,392,324,282,234,194
473,851,826,681,555,459,392,324,282,234,193
497,851,825,680,555,459,393,324,282,233,193
473,850,861,681,555,458,391,324,282,234,193
473,851,826,701,555,458,391,324,282,233,193
497,850,825,681,556,459,391,324,282,233,193
474,850,825,681,555,459,391,338,282,233,193
473,850,825,684,580,458,391,324,283,234,193
473,888,825,681,556,458,391,324,282,243,194
473,851,825,681,555,459,392,327,280,234,193
473,851,825,681,580,459,387,324,283,234,193
473,880,825,680,539,456,392,324,282,236,194
473,851,852,681,539,459,391,324,282,234,193
473,851,826,680,539,459,392,324,282,234,192
498,850,826,680,539,458,392,324,282,233,197
474,850,851,680,540,458,391,324,282,234,197
473,850,826,682,539,459,391,324,282,234,197
498,850,825,681,540,459,391,324,282,233,197
473,850,825,681,539,459,391,325,292,234,197
473,851,825,682,565,459,391,324,283,234,197
473,869,825,681,540,470,391,324,282,234,197
473,852,825,681,539,459,392,325,299,234,197
473,851,825,680,552,459,410,324,283,234,184
473,859,825,680,539,478,392,324,282,234,197
473,851,827,680,539,459,392,324,282,234,197
473,851,826,680,539,459,413,324,282,233,205
475,850,826,680,539,458,392,324,282,233,193
473,850,827,687,539,458,391,324,282,234,193
473,850,825,682,539,459,391,324,282,233,193
474,850,825,681,540,458,391,320,282,233,193
473,850,825,701,539,458,391,324,289,233,193
473,851,826,681,542,458,391,324,282,222,193
473,852,825,681,540,484,391,320,282,234,194
473,851,825,678,539,459,392,324,284,234,193
473,851,825,678,541,459,415,324,282,243,207
473,852,831,678,539,484,392,324,282,234,194
473,851,826,678,539,459,392,324,282,237,193
473,863,826,678,539,459,417,324,282,237,215
474,854,838,678,539,459,392,324,282,237,193
473,853,826,704,539,459,391,324,282,237,193
473,854,825,679,539,458,391,324,282,237,193
474,853,825,678,539,458,391,340,282,237,193
473,853,825,704,540,458,391,324,282,237,193
473,853,825,679,541,458,391,324,282,255,193
473,854,825,678,540,461,391,343,274,237,193
473,854,825,678,539,459,392,332,282,237,193
473,884,825,678,541,459,399,331,282,241,198
473,854,860,678,539,460,392,331,282,237,193
473,854,826,678,539,459,392,331,282,234,193
473,891,826,678,540,459,394,331,282,233,194
474,850,860,678,539,459,392,331,282,234,193
473,850,826,688,539,459,391,331,282,234,193
472,850,825,679,540,459,392,331,282,233,193
474,850,825,679,540,458,391,333,296,233,193
473,850,825,683,540,458,391,331,282,234,193
472,850,825,679,541,458,391,331,282,234,193
473,851,825,678,540,460,391,332,303,234,193
473,851,825,678,540,459,392,324,282,232,193
473,876,825,678,540,457,393,324,282,234,194
473,851,851,678,539,460,392,324,282,234,193
473,851,826,678,539,459,392,324,282,237,192
473,876,826,678,539,459,393,324,282,237,194
474,850,832,678,539,459,392,324,282,237,193
473,851,826,680,539,458,391,324,282,237,193
478,850,825,679,539,459,391,320,282,237,193
474,850,825,678,540,458,391,325,286,237,193
473,850,825,679,541,458,391,324,283,230,193
488,850,825,679,540,473,391,320,282,237,193
473,851,825,678,539,459,391,325,283,237,193
473,851,825,678,554,459,392,324,282,249,192
